country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cabo Verde,61.425,61.794,62.101000000000006,62.391999999999996,62.68899999999999,63.004,63.338,63.678000000000004,64.015,64.34899999999999,64.676,64.992,65.298,65.598,65.899,66.22399999999999,66.596,67.02600000000001,67.512,68.041,68.583,69.09899999999999,69.557,69.932,70.219,70.42399999999999,70.565,70.676,70.786,70.911,71.062,71.243,71.445,71.661,71.88600000000001,72.117,72.347,72.57
Costa Rica,72.113,72.678,73.193,73.657,74.07,74.429,74.738,75.006,75.243,75.456,75.654,75.844,76.028,76.211,76.39399999999999,76.579,76.765,76.94800000000001,77.124,77.293,77.452,77.601,77.74,77.87100000000001,77.99600000000001,78.117,78.23899999999999,78.362,78.491,78.626,78.76899999999999,78.919,79.074,79.234,79.398,79.565,79.738,79.914
Caribbean small states,68.08672611,68.30313394,68.51781657,68.71895041,68.92093741,69.12268718,69.32977081,69.5487097,69.76320106,69.98418571,70.19763108,70.39400995,70.58806645,70.71253998,70.83448987,70.93752533,71.02898984,71.16377413,71.21031996,71.31027098,71.41918539,71.53800045,71.71335996,71.79198627,71.92353854,72.05570842,72.18702420000001,72.31605629,72.44079122,72.56174734,72.67939477,72.79529831,72.91180346,73.03014515,73.15058462,73.27301598,73.39595639,73.51749249
Cuba,73.794,74.00399999999999,74.175,74.315,74.42699999999999,74.51100000000001,74.566,74.595,74.607,74.615,74.638,74.696,74.801,74.957,75.164,75.41199999999999,75.686,75.964,76.23,76.475,76.699,76.905,77.105,77.303,77.499,77.688,77.86399999999999,78.01899999999999,78.15,78.256,78.33800000000001,78.4,78.446,78.485,78.521,78.561,78.607,78.66199999999999
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,74.70975609999999,75.36341463,75.3097561,76.15609756,,77.47317073,77.52439024,77.82682927,77.97560976,78.07560976,77.7195122,78.01707317
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1902439,,,,,,,
Cyprus,74.79,74.983,75.173,75.358,75.54,75.718,75.893,76.064,76.23100000000001,76.39399999999999,76.554,76.712,76.866,77.017,77.166,77.312,77.456,77.598,77.738,77.875,78.009,78.139,78.264,78.385,78.506,78.63,78.764,78.91,79.071,79.245,79.43,79.62100000000001,79.812,79.999,80.178,80.35,80.513,80.672
Czechia,70.27804878,70.72219512,70.80780488,70.59146341,70.83756098,71.04634146,70.99731707,71.44560976,71.64146341,71.67560976,71.38390244,71.89829268,72.27170732,72.76780488,72.97268293,73.07487805,73.71463415,73.82487805,74.51463415,74.66829268,74.96829268,75.17317073,75.22195122,75.17073171,75.72195122,75.92439024,76.52439024,76.72439024,76.97560976,77.07804878,77.42439024,77.87317073,78.07560976,78.17560976,78.82439024,78.57804878,79.02682927,79.47560976
Germany,72.67790244,72.95039024,73.227,73.50519512,73.78292683,74.05463415,74.31373171,74.55968293,74.7924878,75.01314634,75.2277561,75.31951219999999,75.81951219999999,75.87073171,76.27073171,76.42195122,76.67317073,77.07317073,77.47560976,77.72682927,77.92682927,78.32926829,78.22926829,78.3804878,78.68048780000001,78.93170732,79.13170732,79.53414634,79.73658537,79.83658537,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.9902439
Djibouti,53.638999999999996,54.049,54.451,54.828,55.174,55.488,55.772,56.032,56.271,56.488,56.678000000000004,56.831,56.943000000000005,57.016999999999996,57.056000000000004,57.065,57.05,57.022,56.998000000000005,56.992,57.022,57.1,57.235,57.427,57.681999999999995,57.99100000000001,58.34,58.718999999999994,59.123999999999995,59.56100000000001,60.062,60.667,61.395,62.239,63.17100000000001,64.13600000000001,65.064,65.893
Dominica,,,71.46341463,,,,,71.96341463,,,,,73.95121951,,,,,75.95121951,,,,,76.59756098,,,,,,,,,,,,,,,
