Index,country,year,Vaccine,Subgroup,Coverage,Vaccinated,Target,values
2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,9964469
2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,105789
2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3814419
2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,14774424
2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9576737
2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,20059147
2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,673252
2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,44750054
2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,86746
2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,11560147
2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,19789919
2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,8397668
2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,193886508
2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,1953498
2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3735938
2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,678323
2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,8944708
2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,314655
2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,145924797
2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4337625
2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8150775
2015IPV1Peru,Peru,2015,IPV1,LACR,98,551000,562000,28562317
2015IPV1Pakistan,Pakistan,2015,IPV1,ROSA,20,1089000,5445000,171648986
2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,105456
2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3848449
2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,14535739
2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9458075
2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,19605569
2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,657229
2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,44254975
2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,11183588
2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4273366
2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,9738792
2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,19252666
2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,192030362
2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,1915639
2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3754271
2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,671613
2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,8696921
2015IPV1Belize,Belize,2015,IPV1,LACR,7,1000,8000,306823
2015IPV1Bangladesh,Bangladesh,2015,IPV1,ROSA,51,1482000,2906000,144304167
2015IPV1Bahrain,Bahrain,2015,IPV1,MENA,98,21000,21000,1114641
2015IPV1Antigua and Barbuda,Antigua and Barbuda,2015,IPV1,LACR,21,500,1000,85397
2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,8126102
2015IPV1Panama,Panama,2015,IPV1,LACR,80,62000,78000,3516204
2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,746817
2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1200669765
2015IPV1Oman,Oman,2015,IPV1,MENA,99,85000,86000,2750963
2015IPV1Nigeria,Nigeria,2015,IPV1,WCAR,45,2993000,6651000,150269623
2015IPV1Niger,Niger,2015,IPV1,WCAR,27,244000,905000,15250908
2015IPV1Nicaragua,Nicaragua,2015,IPV1,LACR,9,12000,134000,5667432
2015IPV1Nepal,Nepal,2015,IPV1,ROSA,59,327000,554000,26666576
2015IPV1Myanmar,Myanmar,2015,IPV1,EAPR,8,73000,911000,49929642
2015IPV1Morocco,Morocco,2015,IPV1,MENA,33,227000,688000,31536811
2015IPV1Montenegro,Montenegro,2015,IPV1,CEECIS,96,7000,7000,616969
2015IPV1Mexico,Mexico,2015,IPV1,LACR,99,2208000,2230000,110815271
2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,7980955
2015IPV1Mauritania,Mauritania,2015,IPV1,WCAR,6,8000,134000,3296238
2015IPV1Madagascar,Madagascar,2015,IPV1,ESAR,30,235000,785000,19996473
2015IPV1Libya,Libya,2015,IPV1,MENA,98,128000,131000,6058748
2015IPV1Lebanon,Lebanon,2015,IPV1,MENA,96,106000,110000,4764741
2015IPV1Kuwait,Kuwait,2015,IPV1,MENA,97,58000,60000,2656009
2015IPV1Kiribati,Kiribati,2015,IPV1,EAPR,52,2000,3000,98761
2015IPV1Kazakhstan,Kazakhstan,2015,IPV1,CEECIS,99,384000,388000,15674000
2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,6556478
2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2781876
2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,7308800
2015IPV1Maldives,Maldives,2015,IPV1,ROSA,82,6000,7000,343452
2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1217726215
2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,7485600
2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2795837
2015IPV1Israel,Israel,2015,IPV1,Industrialized,95,159000,168000,7623600
2015IPV1India,India,2015,IPV1,ROSA,1,236000,23558000,1234281170
2015IPV1Honduras,Honduras,2015,IPV1,LACR,9,18000,201000,8317470
2015IPV1Guyana,Guyana,2015,IPV1,LACR,31,5000,15000,749436
2015IPV1Guinea,Guinea,2015,IPV1,WCAR,8,33000,407000,10192176
2015IPV1Grenada,Grenada,2015,IPV1,LACR,54,1000,2000,106233
2015IPV1Georgia,Georgia,2015,IPV1,CEECIS,10,6000,56000,3786695
2015IPV1Ecuador,Ecuador,2015,IPV1,LACR,3,10000,328000,15011117
2015IPV1Dominican Republic,Dominican Republic,2015,IPV1,LACR,6,12000,203000,9695121
2015IPV1Jamaica,Jamaica,2015,IPV1,LACR,33,16000,47000,2810460
2015IPV1Cote d'Ivoire,Cote d'Ivoire,2015,IPV1,WCAR,27,214000,794000,20532950
2015IPV1Colombia,Colombia,2015,IPV1,LACR,92,674000,732000,45222700
2015IPV1Chad,Chad,2015,IPV1,WCAR,28,159000,569000,11952136
2015IPV1Central African Republic,Central African Republic,2015,IPV1,WCAR,2,3000,151000,4386768
2015IPV1Cameroon,Cameroon,2015,IPV1,WCAR,31,250000,806000,20341241
2015IPV1Burundi,Burundi,2015,IPV1,ESAR,4,16000,397000,8675602
2015IPV1Brazil,Brazil,2015,IPV1,LACR,97,2831000,2918000,195713635
2015IPV1Botswana,Botswana,2015,IPV1,ESAR,8,4000,55000,1987105
2015IPV1Bosnia and Herzegovina,Bosnia and Herzegovina,2015,IPV1,CEECIS,56,17000,30000,3705472
2015IPV1Bhutan,Bhutan,2015,IPV1,ROSA,43,5000,13000,685503
2015IPV1Comoros,Comoros,2015,IPV1,ESAR,91,22000,24000,689692
2015IPV1Benin,Benin,2015,IPV1,WCAR,31,115000,371000,9199259
2015IPV1Jordan,Jordan,2015,IPV1,MENA,99,214000,217000,7261539
2015IPV1Kiribati,Kiribati,2015,IPV1,EAPR,52,2000,3000,102927
2015IPV1Russian Federation,Russian Federation,2015,IPV1,CEECIS,97,1829000,1885000,142849449
2015IPV1Qatar,Qatar,2015,IPV1,MENA,96,24000,25000,1856327
2015IPV1Peru,Peru,2015,IPV1,LACR,98,551000,562000,29027674
2015IPV1Panama,Panama,2015,IPV1,LACR,80,62000,78000,3642687
2015IPV1Pakistan,Pakistan,2015,IPV1,ROSA,20,1089000,5445000,179424641
2015IPV1Oman,Oman,2015,IPV1,MENA,99,85000,86000,3041434
2015IPV1Nigeria,Nigeria,2015,IPV1,WCAR,45,2993000,6651000,158503197
2015IPV1Niger,Niger,2015,IPV1,WCAR,27,244000,905000,16464025
2015IPV1Nicaragua,Nicaragua,2015,IPV1,LACR,9,12000,134000,5824065
2015IPV1Kazakhstan,Kazakhstan,2015,IPV1,CEECIS,99,384000,388000,16321872
2015IPV1Nepal,Nepal,2015,IPV1,ROSA,59,327000,554000,27013212
